Country,State,City,StationName,PM25,AQI,MainPollutant,PM10,SO2,CO,NO2,Ozone
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),12.21,51,PM2.5,,,,26,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.2,30,PM2.5,,,,9.73,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.7,24,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),19.88,67,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),14.72,56,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),6.54,27,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.96,25,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),14.08,55,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),9.69,40,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.92,24,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.39,35,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.02,29,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),10.15,42,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.68,32,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),14.48,56,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.11,34,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),17.8,63,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.2,30,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),9,37,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.63,32,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),9.02,37,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),12,50,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),14.46,56,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),7.95,33,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),3.67,15,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.81,36,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),10.76,44,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),9.19,38,PM2.5,,,,,
